Name,building_id,height_m,height_cm,height_source,num_verts,centroid_x_cm,centroid_y_cm,osm_name,footprint
buildings_meta_0,0,12.0,1200.0,estimate:default,10,-44656.92,-42528.37,巴黎春天百货,-51810.17 -36833.52;-46751.67 -47472.18;-44120.25 -46397.92;-43470.95 -45724.94;-42913.03 -44962.14;-42542.65 -43725.91;-42531.18 -42734.69;-42688.24 -42102.7;-43231.79 -40947.36;-46509.28 -34382.33
buildings_meta_1,1,12.0,1200.0,estimate:default,10,-33652.89,-37290.39,百联又一城购物中心,-43717.51 -22676.3;-34723.66 -40854.54;-34141.98 -40812.43;-33725.97 -41227.11;-32145.64 -41722.77;-31065.11 -41681.78;-30150.22 -41392.42;-29942.67 -41019.89;-28237.62 -41309.32;-38678.51 -20207.32
buildings_meta_2,2,75.0,7500.0,osm:levels,14,-22679.63,-37671.5,沪东金融大厦,-26490.59 -37847.86;-25768.98 -38190.48;-25048.36 -40342.58;-23399.49 -41160.87;-20504.41 -40187.45;-20024.59 -40024.47;-20629.09 -38752.73;-19776.05 -36562.97;-20410.08 -36256.94;-20158.74 -35789.06;-22510.18 -34822.18;-22948.12 -35571.69;-24577.97 -36070.58;-25268.16 -35821.1
buildings_meta_3,3,12.0,1200.0,estimate:default,18,-7602.24,23676.35,江湾游泳池,-10324.86 25373.74;-10282.99 23659.62;-9946.96 23618.59;-10030.78 18311.01;-9191.16 17475.01;-5873.58 17474.99;-5075.84 18143.56;-5201.47 23618.56;-4865.43 23659.58;-4992.03 25541.12;-5999.2 25582.15;-5999.19 26250.73;-6755.04 26209.71;-6755.04 26710.86;-8603.73 26710.88;-8560.89 26209.72;-9191.08 26209.73;-9191.09 25414.75
buildings_meta_4,4,12.0,1200.0,estimate:default,12,-10139.55,34139.6,江湾体育中心综合体育馆,-10704.58 36381.39;-10704.58 35962.29;-11504.22 35920.16;-11504.22 35249.37;-11841.21 35249.38;-11756.51 33071.79;-11504.25 33071.79;-11504.26 32275.71;-10704.62 32316.72;-10704.63 31897.62;-4557.91 31897.57;-4683.55 36381.35
buildings_meta_5,5,12.0,1200.0,estimate:default,17,-50507.49,6081.79,"创智天地一,二号楼",-53406.29 8384.6;-57440.83 6352.48;-56419.5 3913.18;-54019.79 -203.73;-49234.1 2236.39;-43652.57 5081.19;-45695.33 8994.05;-44214.03 9807.8;-45466.71 12271.49;-52231.53 8943.35;-50751.36 6099.34;-50036.41 6606.0;-49321.53 5437.35;-50756.19 4679.03;-51823.38 4115.84;-52384.99 5183.59;-51772.85 5488.47
buildings_meta_6,6,12.0,1200.0,estimate:default,4,-29977.58,-29870.05,,-31245.64 -29782.7;-30916.27 -30727.37;-28707.61 -29963.5;-29040.78 -29006.64
buildings_meta_7,7,12.0,1200.0,estimate:default,4,-28891.15,-22921.57,,-30402.9 -22285.38;-28130.47 -21472.73;-27341.32 -23570.5;-29689.91 -24357.65
buildings_meta_8,8,12.0,1200.0,estimate:default,4,-28723.38,-32235.33,,-29910.99 -32000.24;-29579.73 -33086.82;-27535.76 -32470.41;-27867.03 -31383.83
buildings_meta_9,9,12.0,1200.0,estimate:default,10,-15892.42,33408.91,,-17991.69 36355.99;-17966.07 31452.0;-17302.57 31477.49;-17302.57 31300.09;-14851.31 31325.55;-14876.98 33357.89;-14468.6 33357.88;-14507.61 34527.61;-14839.84 34527.62;-14816.97 36406.95
buildings_meta_10,10,12.0,1200.0,estimate:default,10,-48138.46,-7881.98,,-52394.06 -4880.51;-48855.86 -11494.36;-48386.54 -11713.91;-47893.42 -11945.66;-45927.54 -11258.32;-45862.76 -10108.56;-44717.49 -9281.48;-47996.74 -2137.68;-48790.7 -2464.72;-50559.53 -3534.58
buildings_meta_11,11,12.0,1200.0,estimate:default,15,-42009.64,-18163.77,平盛大厦,-41674.27 -16099.29;-40015.08 -19402.32;-40730.04 -19783.7;-40565.35 -20049.8;-41062.3 -20291.49;-41266.02 -19936.68;-41674.43 -20139.57;-41841.97 -19871.24;-42721.63 -20291.42;-44177.09 -17166.91;-44634.96 -16282.11;-42893.74 -15402.95;-42695.74 -15870.85;-42236.88 -15666.86;-41955.11 -16201.29
buildings_meta_12,12,9.0,900.0,osm:levels,8,9146.19,-23983.25,,2434.24 -16899.52;4528.67 -29274.24;6775.4 -30366.35;20870.64 -25233.77;19784.35 -22017.32;7490.32 -26377.07;7154.26 -25371.44;4131.63 -16326.3
buildings_meta_13,13,75.0,7500.0,osm:levels,16,-4172.39,-30082.24,凯迪金融大厦,-9686.62 -30146.79;-9350.57 -31114.73;-8916.48 -33579.48;-1818.33 -31191.28;-1920.19 -30961.76;-1511.78 -30835.37;-1282.35 -30606.97;-1205.23 -30351.95;-1332.8 -29056.94;-1435.62 -28776.43;-1665.05 -28624.53;-1920.18 -28599.02;-5112.25 -29742.13;-5622.52 -29031.42;-6950.56 -29462.72;-7027.67 -29234.32
buildings_meta_14,14,12.0,1200.0,estimate:default,5,-31726.88,36069.38,,-31907.15 37077.01;-32906.71 36204.46;-31600.69 34722.02;-30601.13 35594.58;-31618.72 36748.81
buildings_meta_15,15,12.0,1200.0,estimate:default,46,-31923.2,24027.6,江湾体育场,-28842.72 7314.8;-29447.17 8820.5;-28794.11 9256.22;-27999.2 10045.63;-27110.99 11141.05;-26351.28 13007.05;-26135.14 14595.88;-26281.71 16002.88;-26761.45 17715.91;-29556.26 22843.94;-30517.68 24607.99;-34470.88 32218.56;-35707.41 33663.3;-36868.75 34484.92;-38201.45 35123.61;-39417.07 35398.62;-41258.13 35372.08;-42294.8 35251.27;-43189.63 35033.99;-43855.94 36407.76;-42742.15 36784.69;-41516.99 36988.65;-40741.16 37068.45;-39575.99 36988.57;-38698.3 36889.86;-37165.69 36382.0;-35787.31 35671.24;-34510.78 34730.98;-33437.98 33561.22;-32187.19 31427.95;-30400.5 27667.02;-29688.43 28002.95;-29379.04 28149.3;-27234.41 23931.56;-27554.27 23756.39;-27974.09 23525.78;-25370.62 18367.82;-24936.56 17071.68;-24655.76 15978.45;-24502.54 14099.12;-24783.4 12777.5;-25089.96 11481.38;-25498.38 10566.67;-26366.6 9246.18;-27412.84 8152.98;-28194.42 7695.09
buildings_meta_16,16,12.0,1200.0,estimate:default,56,-42788.11,18911.55,江湾体育场,-44954.43 15369.31;-44883.03 15405.9;-44351.82 15670.87;-44284.24 15471.29;-43048.57 16091.03;-42813.45 15685.22;-43246.61 15456.83;-44035.8 15039.98;-43835.9 14636.38;-43386.57 14862.55;-41124.88 10592.67;-40308.14 9221.12;-39321.95 8175.53;-37524.68 6933.67;-35992.98 6374.81;-34470.79 5964.52;-32928.61 5892.4;-30896.14 6192.81;-30308.77 6400.13;-29736.64 6603.01;-30477.22 8243.98;-31828.07 7816.04;-33702.5 7654.23;-35548.35 8058.98;-37274.24 8878.4;-38418.46 9988.3;-39536.96 11649.25;-43283.59 18903.93;-46360.07 24427.84;-47333.82 26501.25;-47630.77 27926.0;-47530.76 29181.1;-47236.54 30656.83;-46724.34 31816.56;-45670.48 33194.68;-44351.03 34460.82;-45158.22 35823.5;-45981.67 35190.44;-46843.21 34527.45;-47787.59 33460.88;-48298.82 32597.19;-48886.23 31275.59;-49243.27 29979.48;-49448.0 28836.37;-49370.96 27388.34;-49090.18 26320.6;-48554.31 24770.55;-46052.79 19993.95;-46869.58 19562.68;-46639.23 19130.26;-45523.51 19651.32;-45016.11 19888.57;-44800.99 19460.59;-45975.73 18876.33;-45822.47 18596.92;-46409.84 18317.54
buildings_meta_17,17,12.0,1200.0,estimate:default,31,-36295.04,-48920.87,五角场广场 彩蛋,-40130.43 -48533.53;-40258.01 -48761.93;-40308.47 -48990.33;-40308.48 -49219.84;-40589.34 -49625.63;-40717.89 -50134.54;-40666.49 -50439.44;-40589.39 -50795.35;-40411.37 -51049.26;-39951.56 -51430.69;-39109.03 -51785.52;-38148.45 -51900.87;-37653.4 -51862.08;-35927.37 -51545.04;-34165.16 -50858.78;-32878.01 -50185.81;-31933.58 -49372.02;-31882.16 -49041.62;-31959.26 -48762.21;-31549.87 -47975.01;-31549.86 -47619.11;-31728.83 -47237.69;-31959.21 -46881.78;-32495.18 -46627.86;-32776.03 -46551.34;-33133.02 -46043.53;-34231.64 -46043.49;-35431.19 -46220.85;-36248.98 -46450.33;-37295.26 -46830.6;-39159.34 -47770.75
buildings_meta_18,18,12.0,1200.0,estimate:default,24,36740.16,48039.04,同济中学 (原上海图书馆),36504.53 51300.18;36504.56 50334.46;37066.2 50334.48;37091.94 49165.86;36504.6 49165.84;36504.61 48911.94;35177.62 48886.39;35177.6 49445.2;34053.37 49445.16;34053.47 46574.61;35177.7 46574.65;35177.68 47082.46;36530.38 47108.01;36504.68 46905.1;37117.72 46905.12;37117.76 45786.4;36581.83 45760.88;36530.45 44846.16;39153.03 44869.54;39134.91 45760.97;37909.77 45760.92;37883.91 50334.51;39170.91 50377.8;39134.7 51300.28
buildings_meta_19,19,12.0,1200.0,estimate:default,4,-4943.64,42110.81,沪东堂,-6525.52 43163.57;-6515.06 41042.54;-3362.24 41058.04;-3371.75 43179.08
buildings_meta_20,20,12.0,1200.0,estimate:default,10,-32687.68,-25091.77,,-33907.24 -23846.39;-32018.46 -23174.55;-31155.07 -25470.79;-31640.59 -25739.09;-32180.38 -25805.6;-32625.91 -25765.67;-32949.59 -25658.11;-33313.24 -25429.7;-33489.36 -25161.38;-33596.92 -24866.45
buildings_meta_21,21,12.0,1200.0,estimate:default,10,27092.01,16149.48,,23943.64 18334.52;24610.96 18519.7;24699.5 18204.82;25699.13 15164.66;29257.52 16303.43;29438.41 15705.82;29409.86 15354.35;29295.63 15173.62;29142.37 15069.39;25423.1 13664.51
buildings_meta_22,22,12.0,1200.0,estimate:default,4,-23335.75,-97.31,,-24400.04 424.93;-23158.66 1070.2;-22271.45 -619.55;-23512.84 -1264.82
buildings_meta_23,23,12.0,1200.0,estimate:default,4,23292.35,3627.26,,19507.8 3161.22;26642.77 5439.85;27076.9 4092.74;19941.92 1815.21
buildings_meta_24,24,12.0,1200.0,estimate:default,4,-30847.76,598.63,,-33844.58 467.33;-28124.13 1849.77;-27850.94 729.93;-33571.4 -652.52
buildings_meta_25,25,12.0,1200.0,estimate:default,4,-15817.92,5830.47,,-18618.62 5353.2;-13372.29 7270.14;-13017.22 6307.75;-18263.55 4390.8
buildings_meta_26,26,12.0,1200.0,estimate:default,4,49036.54,13209.11,,45517.1 13964.55;52538.76 14039.17;52555.98 12453.66;45534.3 12379.05
buildings_meta_27,27,12.0,1200.0,estimate:default,4,-44914.47,-1855.08,,-45880.48 -1685.4;-44316.35 -1081.2;-43947.98 -2024.76;-45513.05 -2628.96
buildings_meta_28,28,12.0,1200.0,estimate:default,4,-33548.5,-13928.66,,-35778.52 -13802.19;-31825.83 -12513.95;-31318.47 -14055.12;-35271.16 -15343.36
buildings_meta_29,29,12.0,1200.0,estimate:default,4,-7338.23,9842.66,,-8978.94 10145.08;-6200.14 11057.56;-5697.51 9540.79;-8476.31 8627.2
buildings_meta_30,30,12.0,1200.0,estimate:default,4,-22230.9,4313.82,,-19813.3 7446.54;-18767.11 6242.42;-24648.49 1181.11;-25694.68 2385.23
buildings_meta_31,31,12.0,1200.0,estimate:default,4,35553.54,9528.07,,34127.01 9862.86;36703.01 10432.85;36980.07 9193.28;34404.07 8623.29
buildings_meta_32,32,12.0,1200.0,estimate:default,4,16835.66,378.77,,14586.15 199.68;18726.26 1604.52;19085.17 557.87;14945.06 -846.98
buildings_meta_33,33,12.0,1200.0,estimate:default,4,-31994.0,-17230.55,,-34304.0 -17162.85;-30189.46 -15793.67;-29684.0 -17298.26;-33798.55 -18667.43
buildings_meta_34,34,12.0,1200.0,estimate:default,4,-36306.82,-19254.43,,-37780.59 -14824.38;-33277.94 -22817.49;-34833.53 -23684.48;-39335.22 -15691.36
buildings_meta_35,35,12.0,1200.0,estimate:default,4,16075.28,-16071.72,,13605.83 -16145.49;18003.99 -14534.41;18544.74 -15997.95;14146.58 -17609.03
buildings_meta_36,36,12.0,1200.0,estimate:default,4,-10964.75,9066.28,,-13188.54 9312.45;-9356.86 10614.08;-8740.95 8820.12;-12572.63 7518.49
buildings_meta_37,37,12.0,1200.0,estimate:default,4,-3819.99,10923.94,,-5836.49 11004.34;-2260.91 12198.44;-1803.97 10843.55;-5378.61 9649.44
buildings_meta_38,38,12.0,1200.0,estimate:default,4,46123.36,27914.85,,43935.27 28680.9;48294.24 28728.76;48311.45 27148.8;43952.47 27100.93
buildings_meta_39,39,12.0,1200.0,estimate:default,4,33568.63,11278.17,,30796.03 11449.38;36099.39 12417.48;36341.24 11106.95;31037.87 10138.85
buildings_meta_40,40,12.0,1200.0,estimate:default,4,-25971.9,-15006.57,,-29595.42 -15529.81;-22927.64 -13079.64;-22337.43 -14454.5;-29027.12 -16962.32
buildings_meta_41,41,12.0,1200.0,estimate:default,4,23012.45,-17284.01,,20707.69 -17475.87;25001.13 -16108.69;25317.22 -17092.14;21023.77 -18459.32
buildings_meta_42,42,12.0,1200.0,estimate:default,4,15104.69,-13016.03,,12648.09 -13206.21;17193.8 -11715.99;17561.29 -12825.84;13015.57 -14316.07
buildings_meta_43,43,12.0,1200.0,estimate:default,4,29478.59,17196.53,,28980.46 17853.45;29861.97 17925.55;29977.2 16539.62;29094.74 16467.52
buildings_meta_44,44,12.0,1200.0,estimate:default,4,38097.49,-5313.8,,33491.58 -5474.46;41790.82 -2570.35;42702.92 -5152.59;34404.62 -8057.81
buildings_meta_45,45,12.0,1200.0,estimate:default,4,-10024.95,6056.59,,-12266.12 6264.5;-8335.43 7536.19;-7784.25 5848.67;-11713.99 4576.98
buildings_meta_46,46,12.0,1200.0,estimate:default,4,-30775.78,-20314.02,,-32936.09 -20207.51;-29117.61 -18932.57;-28615.95 -20420.52;-32433.48 -21695.47
buildings_meta_47,47,12.0,1200.0,estimate:default,4,-15071.85,3624.61,,-17798.05 3378.5;-12762.11 5087.01;-12345.16 3870.71;-17382.06 2162.2
buildings_meta_48,48,12.0,1200.0,estimate:default,4,-29611.68,-1665.19,,-32645.17 -2137.16;-26993.23 -69.5;-26578.2 -1193.78;-32230.14 -3260.33
buildings_meta_49,49,12.0,1200.0,estimate:default,4,-38712.98,-12675.04,,-40553.64 -12593.48;-37315.9 -11479.31;-36872.32 -12756.6;-40110.06 -13870.77
buildings_meta_50,50,15.0,1500.0,osm:levels,4,14514.08,-20577.96,,8927.8 -21647.14;19582.45 -18006.98;20100.36 -19509.33;9445.7 -23148.38
buildings_meta_51,51,12.0,1200.0,estimate:default,4,-16394.05,9181.11,,-18732.79 9132.92;-14495.57 10540.96;-14054.83 9229.31;-18293.0 7821.26
buildings_meta_52,52,12.0,1200.0,estimate:default,4,32335.92,8762.65,,30845.61 8942.5;33592.96 9577.9;33826.23 8583.36;31078.87 7946.85
buildings_meta_53,53,12.0,1200.0,estimate:default,4,5812.2,13160.85,,2457.01 13729.62;9095.99 14052.31;9167.4 12592.09;2528.41 12269.4
buildings_meta_54,54,12.0,1200.0,estimate:default,5,28381.26,19441.61,,27819.02 19742.73;28925.19 20050.99;29135.59 19305.92;28029.43 18996.55;27997.06 19111.86
buildings_meta_55,55,12.0,1200.0,estimate:default,5,25876.86,19069.45,,24392.94 19299.14;27683.83 20211.73;27997.06 19111.86;24699.5 18204.82;24610.96 18519.7
buildings_meta_56,56,12.0,1200.0,estimate:default,6,19800.0,6042.12,,18569.11 5507.31;19937.09 5971.9;19315.42 7785.8;20379.71 8146.17;21515.47 4833.25;19083.2 4008.3
buildings_meta_57,57,12.0,1200.0,estimate:default,8,-41324.66,-1267.59,,-43193.95 -359.45;-39914.37 311.21;-39752.56 -471.57;-40290.43 -581.32;-39861.17 -2659.13;-42170.68 -3131.36;-42490.49 -1580.21;-42923.64 -1668.9
buildings_meta_58,58,18.0,1800.0,osm:levels,85,-11503.3,-51893.02,上海合生汇,-16558.66 -61536.44;-15758.0 -61599.65;-14946.87 -61401.19;-14252.84 -60965.47;-13784.43 -60416.64;-13595.92 -59851.18;-13493.09 -59281.29;-13493.09 -58936.47;-13103.71 -58700.31;-14068.08 -56057.05;-11893.64 -55321.97;-11807.01 -55537.07;-9665.9 -54525.92;-9579.26 -54697.77;-8347.34 -53880.64;-6488.03 -53063.51;-4822.94 -51965.86;-4584.94 -52158.78;-3266.38 -51362.7;-2790.37 -50890.38;-1601.3 -51794.01;-1190.03 -51320.58;-174.22 -50890.38;669.27 -50373.71;1361.39 -49813.79;1880.24 -49168.5;2225.82 -48372.42;2290.55 -47425.55;2225.81 -46586.22;1815.49 -46156.03;1188.12 -46091.73;691.16 -46414.37;-65.69 -45833.39;-22.85 -45467.5;-44.74 -45101.62;464.58 -44298.88;533.13 -44038.33;499.81 -43805.49;321.78 -43597.05;-2411.45 -41929.49;-2649.45 -41942.79;-2889.36 -42063.65;-3101.66 -42305.35;-4731.51 -44839.94;-5406.5 -45359.94;-6054.82 -45876.61;-6552.73 -46414.35;-7049.68 -46199.25;-7396.22 -46844.54;-8412.02 -46478.65;-8238.75 -45984.15;-9493.5 -45425.33;-10098.03 -45446.39;-12109.65 -46134.9;-14336.42 -46887.71;-16325.2 -47683.76;-18401.57 -48759.21;-18141.68 -49447.75;-20779.74 -50309.19;-21017.73 -49662.79;-22552.4 -50158.37;-23547.25 -49964.31;-24304.14 -51169.5;-23633.93 -51793.74;-24174.7 -52825.98;-24433.66 -53320.47;-24029.08 -54453.62;-26267.31 -55238.56;-26492.94 -55444.78;-26664.31 -55694.24;-26720.49 -56054.58;-25495.31 -59383.07;-25265.88 -59627.0;-24946.96 -59764.49;-24605.18 -59743.44;-21574.85 -58614.8;-21318.75 -58347.6;-21212.11 -58070.41;-21212.11 -57666.83;-19795.48 -57118.03;-19179.55 -58958.56;-18595.99 -60464.24;-18039.04 -60241.4;-17681.09 -60860.08;-17207.94 -61232.63
buildings_meta_59,59,105.0,10500.0,osm:height,15,-1869.5,-44335.47,上海五角场凯悦酒店 Hyatt Regency,-2649.45 -41942.79;-2411.45 -41929.49;321.78 -43597.05;499.81 -43805.49;533.13 -44038.33;464.58 -44298.88;-44.74 -45101.62;-1180.5 -46769.17;-1530.84 -46958.77;-1882.14 -46927.72;-4667.73 -45348.86;-4772.45 -45104.93;-4731.51 -44839.94;-3101.66 -42305.35;-2889.36 -42063.65
buildings_meta_60,60,72.0,7200.0,osm:levels,4,43753.83,-26315.75,公寓楼,40034.46 -28456.34;48019.71 -25639.79;47470.34 -24199.55;39490.81 -26967.32
buildings_meta_61,61,54.0,5400.0,osm:levels,4,35661.2,-35158.6,公寓楼,38211.62 -34945.91;33538.27 -36647.99;33091.74 -35365.19;37803.16 -33675.3
buildings_meta_62,62,18.0,1800.0,osm:levels,4,41601.19,-33957.6,公寓楼,43943.55 -32670.53;38964.63 -34310.57;39258.84 -35250.77;44237.76 -33598.54
buildings_meta_63,63,18.0,1800.0,osm:levels,4,49643.43,-37561.79,公寓楼,47583.34 -38762.94;52026.3 -37339.1;51706.37 -36380.05;47257.71 -37765.08
buildings_meta_64,64,18.0,1800.0,osm:levels,4,47202.71,-31956.08,公寓楼,44773.73 -33356.81;49957.31 -31527.15;49638.34 -30549.25;44441.44 -32391.11
buildings_meta_65,65,6.0,600.0,osm:levels,4,37072.27,-40713.65,公寓楼,34637.07 -42098.56;39820.71 -40268.94;39488.42 -39328.74;34342.87 -41158.35
buildings_meta_66,66,3.0,300.0,osm:levels,4,42158.28,-32020.32,公寓楼,40351.66 -33157.42;44284.33 -31797.94;43952.04 -30883.23;40045.08 -32242.71
buildings_meta_67,67,18.0,1800.0,osm:levels,4,36645.46,-38908.35,公寓楼,34215.27 -40306.84;39398.9 -38477.22;39066.61 -37499.32;33901.08 -39350.0
buildings_meta_68,68,78.0,7800.0,osm:levels,4,34907.73,-29418.63,公寓楼,38287.5 -27436.36;38798.78 -28846.67;31496.06 -31439.16;31048.58 -29952.35
buildings_meta_69,69,18.0,1800.0,osm:levels,4,46206.78,-29148.5,公寓楼,43777.81 -30549.51;48961.38 -28719.85;48642.41 -27754.14;43445.52 -29570.5
buildings_meta_70,70,18.0,1800.0,osm:levels,4,42539.75,-36889.09,公寓楼,40113.85 -38274.29;45297.46 -36444.65;44940.42 -35491.14;39807.27 -37346.29
buildings_meta_71,71,18.0,1800.0,osm:levels,4,48208.39,-34874.81,公寓楼,45782.98 -36266.12;50966.57 -34436.45;50620.95 -33496.25;45463.06 -35300.42
buildings_meta_72,72,6.0,600.0,osm:levels,4,33690.47,-32628.23,功能建筑,35136.57 -32857.14;32671.86 -33682.12;32225.33 -32399.32;34728.12 -31574.33
buildings_meta_73,73,12.0,1200.0,estimate:default,4,-20779.14,-20048.16,,-22904.9 -18235.32;-20213.6 -17319.55;-18653.37 -21861.0;-21344.68 -22776.78
buildings_meta_74,74,12.0,1200.0,estimate:default,4,-18082.28,-27699.67,,-20208.06 -25886.84;-17516.74 -24971.06;-15956.49 -29512.51;-18647.81 -30428.29
buildings_meta_75,75,12.0,1200.0,estimate:default,4,-22558.36,-28744.31,,-23699.09 -28502.3;-23350.69 -29605.51;-21424.77 -28972.46;-21758.9 -27896.96
buildings_meta_76,76,12.0,1200.0,estimate:default,4,-23317.77,-26388.2,,-24458.73 -26146.19;-24110.33 -27249.4;-22184.42 -26616.35;-22517.6 -25540.86
buildings_meta_77,77,12.0,1200.0,estimate:default,4,-21964.36,-30940.47,,-22715.72 -30586.76;-22384.45 -31673.34;-21207.76 -31299.72;-21549.51 -30202.05
buildings_meta_78,78,12.0,1200.0,estimate:default,8,-26210.64,-21235.37,,-27132.77 -21334.16;-27067.09 -21501.59;-26421.63 -21253.24;-26626.29 -20691.1;-24280.56 -19852.95;-23722.73 -21232.24;-27008.09 -22544.92;-27425.99 -21472.75
buildings_meta_79,79,12.0,1200.0,estimate:default,6,-24705.09,-23707.31,,-26767.25 -23151.41;-26277.96 -24434.24;-24867.09 -23947.54;-24563.42 -24761.37;-22454.73 -24003.03;-23300.06 -21946.29
buildings_meta_80,80,12.0,1200.0,estimate:default,10,9686.86,46166.42,,7489.8 46883.43;9170.92 45545.18;10323.71 45422.12;11617.37 47033.15;12362.74 46964.41;12364.65 46639.55;10891.07 44799.01;8914.86 44994.13;6944.35 46459.88;6789.18 46923.34
buildings_meta_81,81,12.0,1200.0,estimate:default,4,-26033.93,-30840.59,,-27425.28 -30655.39;-27060.69 -31771.91;-24607.36 -31112.27;-25042.4 -29822.78
buildings_meta_82,82,12.0,1200.0,estimate:default,4,-26763.59,-28886.12,,-28155.41 -28700.65;-27789.87 -29817.17;-25336.55 -29157.53;-25772.53 -27869.15
buildings_meta_83,83,12.0,1200.0,estimate:default,4,-29548.17,-11454.6,,-30864.29 -11342.03;-30673.92 -12309.97;-28169.23 -11610.42;-28485.26 -10556.0
buildings_meta_84,84,12.0,1200.0,estimate:default,4,-26899.02,-10520.0,,-28214.9 -10407.43;-28024.52 -11375.37;-25520.79 -10675.82;-25835.87 -9621.39
buildings_meta_85,85,12.0,1200.0,estimate:default,4,-24379.33,-9645.82,,-25694.97 -9533.8;-25505.55 -10501.75;-23000.87 -9801.07;-23315.95 -8746.65
buildings_meta_86,86,12.0,1200.0,estimate:default,4,-23777.73,-11970.88,,-25093.37 -11858.86;-24903.95 -12826.8;-22399.26 -12126.13;-22714.35 -11071.71
buildings_meta_87,87,12.0,1200.0,estimate:default,4,-26231.26,-12815.41,,-27547.61 -12702.56;-27357.24 -13671.61;-24852.55 -12970.94;-25167.63 -11916.52
buildings_meta_88,88,12.0,1200.0,estimate:default,4,-28861.62,-13648.0,,-30177.98 -13535.15;-29987.61 -14504.2;-27482.91 -13803.54;-27797.99 -12749.12
buildings_meta_89,89,3.5,350.0,osm:height,4,-45366.84,48970.77,,-46804.47 49478.92;-46811.18 48455.54;-43915.4 48469.83;-43936.3 49478.79
buildings_meta_90,90,18.0,1800.0,osm:levels,4,-42142.41,49154.97,,-43524.11 49617.37;-43537.48 48671.61;-40754.04 48678.15;-40754.0 49652.74
buildings_meta_91,91,12.0,1200.0,estimate:default,4,-48191.18,49741.47,,-49238.52 50139.84;-49238.56 49298.3;-47140.51 49339.23;-47147.13 50188.53
buildings_meta_92,92,3.0,300.0,osm:height,4,-45381.19,47180.14,非机动车停车库,-46476.14 47557.44;-46455.23 46792.4;-44279.11 46805.62;-44314.3 47565.11
buildings_meta_93,93,12.0,1200.0,estimate:default,10,-44814.68,42033.81,,-48738.14 43030.53;-48691.56 41462.75;-47727.3 40495.88;-42017.58 40442.42;-40818.09 41482.37;-40858.97 42990.27;-42165.02 43030.24;-43083.68 42169.89;-46607.74 42196.65;-47438.74 43037.12
buildings_meta_94,94,15.0,1500.0,osm:height,4,-18187.39,45874.6,空置法拍房,-18877.76 46679.56;-18894.93 45057.46;-17501.3 45074.07;-17475.57 46687.3
