Name,building_id,vert_index,x_cm,y_cm
buildings_verts_0,0,0,-51810.17,-36833.52
buildings_verts_1,0,1,-46751.67,-47472.18
buildings_verts_2,0,2,-44120.25,-46397.92
buildings_verts_3,0,3,-43470.95,-45724.94
buildings_verts_4,0,4,-42913.03,-44962.14
buildings_verts_5,0,5,-42542.65,-43725.91
buildings_verts_6,0,6,-42531.18,-42734.69
buildings_verts_7,0,7,-42688.24,-42102.7
buildings_verts_8,0,8,-43231.79,-40947.36
buildings_verts_9,0,9,-46509.28,-34382.33
buildings_verts_10,1,0,-43717.51,-22676.3
buildings_verts_11,1,1,-34723.66,-40854.54
buildings_verts_12,1,2,-34141.98,-40812.43
buildings_verts_13,1,3,-33725.97,-41227.11
buildings_verts_14,1,4,-32145.64,-41722.77
buildings_verts_15,1,5,-31065.11,-41681.78
buildings_verts_16,1,6,-30150.22,-41392.42
buildings_verts_17,1,7,-29942.67,-41019.89
buildings_verts_18,1,8,-28237.62,-41309.32
buildings_verts_19,1,9,-38678.51,-20207.32
buildings_verts_20,2,0,-26490.59,-37847.86
buildings_verts_21,2,1,-25768.98,-38190.48
buildings_verts_22,2,2,-25048.36,-40342.58
buildings_verts_23,2,3,-23399.49,-41160.87
buildings_verts_24,2,4,-20504.41,-40187.45
buildings_verts_25,2,5,-20024.59,-40024.47
buildings_verts_26,2,6,-20629.09,-38752.73
buildings_verts_27,2,7,-19776.05,-36562.97
buildings_verts_28,2,8,-20410.08,-36256.94
buildings_verts_29,2,9,-20158.74,-35789.06
buildings_verts_30,2,10,-22510.18,-34822.18
buildings_verts_31,2,11,-22948.12,-35571.69
buildings_verts_32,2,12,-24577.97,-36070.58
buildings_verts_33,2,13,-25268.16,-35821.1
buildings_verts_34,3,0,-10324.86,25373.74
buildings_verts_35,3,1,-10282.99,23659.62
buildings_verts_36,3,2,-9946.96,23618.59
buildings_verts_37,3,3,-10030.78,18311.01
buildings_verts_38,3,4,-9191.16,17475.01
buildings_verts_39,3,5,-5873.58,17474.99
buildings_verts_40,3,6,-5075.84,18143.56
buildings_verts_41,3,7,-5201.47,23618.56
buildings_verts_42,3,8,-4865.43,23659.58
buildings_verts_43,3,9,-4992.03,25541.12
buildings_verts_44,3,10,-5999.2,25582.15
buildings_verts_45,3,11,-5999.19,26250.73
buildings_verts_46,3,12,-6755.04,26209.71
buildings_verts_47,3,13,-6755.04,26710.86
buildings_verts_48,3,14,-8603.73,26710.88
buildings_verts_49,3,15,-8560.89,26209.72
buildings_verts_50,3,16,-9191.08,26209.73
buildings_verts_51,3,17,-9191.09,25414.75
buildings_verts_52,4,0,-10704.58,36381.39
buildings_verts_53,4,1,-10704.58,35962.29
buildings_verts_54,4,2,-11504.22,35920.16
buildings_verts_55,4,3,-11504.22,35249.37
buildings_verts_56,4,4,-11841.21,35249.38
buildings_verts_57,4,5,-11756.51,33071.79
buildings_verts_58,4,6,-11504.25,33071.79
buildings_verts_59,4,7,-11504.26,32275.71
buildings_verts_60,4,8,-10704.62,32316.72
buildings_verts_61,4,9,-10704.63,31897.62
buildings_verts_62,4,10,-4557.91,31897.57
buildings_verts_63,4,11,-4683.55,36381.35
buildings_verts_64,5,0,-53406.29,8384.6
buildings_verts_65,5,1,-57440.83,6352.48
buildings_verts_66,5,2,-56419.5,3913.18
buildings_verts_67,5,3,-54019.79,-203.73
buildings_verts_68,5,4,-49234.1,2236.39
buildings_verts_69,5,5,-43652.57,5081.19
buildings_verts_70,5,6,-45695.33,8994.05
buildings_verts_71,5,7,-44214.03,9807.8
buildings_verts_72,5,8,-45466.71,12271.49
buildings_verts_73,5,9,-52231.53,8943.35
buildings_verts_74,5,10,-50751.36,6099.34
buildings_verts_75,5,11,-50036.41,6606.0
buildings_verts_76,5,12,-49321.53,5437.35
buildings_verts_77,5,13,-50756.19,4679.03
buildings_verts_78,5,14,-51823.38,4115.84
buildings_verts_79,5,15,-52384.99,5183.59
buildings_verts_80,5,16,-51772.85,5488.47
buildings_verts_81,6,0,-31245.64,-29782.7
buildings_verts_82,6,1,-30916.27,-30727.37
buildings_verts_83,6,2,-28707.61,-29963.5
buildings_verts_84,6,3,-29040.78,-29006.64
buildings_verts_85,7,0,-30402.9,-22285.38
buildings_verts_86,7,1,-28130.47,-21472.73
buildings_verts_87,7,2,-27341.32,-23570.5
buildings_verts_88,7,3,-29689.91,-24357.65
buildings_verts_89,8,0,-29910.99,-32000.24
buildings_verts_90,8,1,-29579.73,-33086.82
buildings_verts_91,8,2,-27535.76,-32470.41
buildings_verts_92,8,3,-27867.03,-31383.83
buildings_verts_93,9,0,-17991.69,36355.99
buildings_verts_94,9,1,-17966.07,31452.0
buildings_verts_95,9,2,-17302.57,31477.49
buildings_verts_96,9,3,-17302.57,31300.09
buildings_verts_97,9,4,-14851.31,31325.55
buildings_verts_98,9,5,-14876.98,33357.89
buildings_verts_99,9,6,-14468.6,33357.88
buildings_verts_100,9,7,-14507.61,34527.61
buildings_verts_101,9,8,-14839.84,34527.62
buildings_verts_102,9,9,-14816.97,36406.95
buildings_verts_103,10,0,-52394.06,-4880.51
buildings_verts_104,10,1,-48855.86,-11494.36
buildings_verts_105,10,2,-48386.54,-11713.91
buildings_verts_106,10,3,-47893.42,-11945.66
buildings_verts_107,10,4,-45927.54,-11258.32
buildings_verts_108,10,5,-45862.76,-10108.56
