Name,road_id,highway,width_m,width_cm,num_verts,name,centerline
roads_meta_0,0,primary,12.0,1200.0,4,翔殷路,-30015.25 -49049.43;-29546.84 -48399.72;-29058.44 -48001.69;-27913.15 -47442.92
roads_meta_1,1,primary,17.5,1750.0,6,五角场,-30015.25 -49049.43;-30247.5 -47677.91;-30581.64 -46806.42;-31022.39 -45991.48;-31515.53 -45559.05;-32595.09 -44956.97
roads_meta_2,2,tertiary,8.0,800.0,2,国和路,-601.65 466.78;-584.51 2327.26
roads_meta_3,3,tertiary,8.0,800.0,3,政通路,4994.99 4164.47;663.52 2743.04;-584.51 2327.26
roads_meta_4,4,tertiary,8.0,800.0,6,国和路,-776.79 29982.76;-705.4 17032.58;-711.11 15652.19;-717.78 14044.51;-658.76 8269.04;-584.51 2327.26
roads_meta_5,5,tertiary,8.0,800.0,2,政通路,-8341.2 -442.36;-584.51 2327.26
roads_meta_6,6,tertiary,8.0,800.0,4,盘山路,36377.29 14668.25;34442.91 14489.68;32949.29 14056.11;31524.22 13613.68
roads_meta_7,7,tertiary,8.0,800.0,3,政通路,4994.99 4164.47;12460.31 6613.75;31524.22 13613.68
roads_meta_8,8,tertiary,8.0,800.0,5,黑山路,31160.08 30115.16;31240.26 23034.7;31236.48 22111.11;31232.7 20925.86;31524.22 13613.68
roads_meta_9,9,tertiary,14.0,1400.0,2,市光路,-39031.3 41756.17;-39009.51 38794.7
roads_meta_10,10,secondary,10.0,1000.0,2,政立路,-36408.82 38783.52;-39009.51 38794.7
roads_meta_11,11,secondary,10.0,1000.0,3,政立路,-39009.51 38794.7;-41378.88 39101.91;-41662.56 39104.14
roads_meta_12,12,secondary,10.0,1000.0,3,政立路,-41654.02 38440.0;-41370.34 38437.77;-39009.51 38794.7
roads_meta_13,13,tertiary,7.0,700.0,2,政立路,-860.55 38872.7;31142.68 38988.47
roads_meta_14,14,tertiary,8.0,800.0,2,黑山路,31160.08 30115.16;31142.68 38988.47
roads_meta_15,15,secondary,10.0,1000.0,2,政立路,-14144.86 38810.7;-860.55 38872.7
roads_meta_16,16,secondary,10.0,1000.0,3,国和路,-181.82 48181.75;-219.9 43623.68;-860.55 38872.7
roads_meta_17,17,tertiary,8.0,800.0,3,国和路,-776.79 29982.76;-798.68 34810.24;-860.55 38872.7
roads_meta_18,18,residential,6.0,600.0,2,国栋路,-20621.86 38794.18;-20753.04 48069.97
roads_meta_19,19,residential,6.0,600.0,2,政德东路,-181.82 48181.75;-20753.04 48069.97
roads_meta_20,20,residential,6.0,600.0,2,政德东路,-37912.55 47941.83;-20753.04 48069.97
roads_meta_21,21,secondary,10.0,1000.0,2,政立路,-25669.99 38782.09;-20621.86 38794.18
roads_meta_22,22,secondary,10.0,1000.0,2,政立路,-18497.13 38810.77;-20621.86 38794.18
roads_meta_23,23,residential,6.0,600.0,2,政德东路,-37912.55 47941.83;-39077.71 47933.01
roads_meta_24,24,tertiary,14.0,1400.0,2,市光路,-39031.3 41756.17;-39077.71 47933.01
roads_meta_25,25,tertiary,14.0,1400.0,2,市光路,-39071.01 49065.04;-39077.71 47933.01
roads_meta_26,26,residential,6.0,600.0,3,政衷路,-776.79 29982.76;-6.66 30149.07;31160.08 30115.16
roads_meta_27,27,path,2.0,200.0,2,,-21066.56 31262.46;-20412.61 29694.68
roads_meta_28,28,service,4.0,400.0,2,政衷路,-17411.12 29709.04;-20412.61 29694.68
roads_meta_29,29,service,4.0,400.0,4,政衷路,-25396.1 27795.5;-22255.58 29421.96;-21133.23 29691.37;-20412.61 29694.68
roads_meta_30,30,residential,6.0,600.0,2,国济路,-25949.99 -43357.24;-29439.87 -36154.72
roads_meta_31,31,primary,12.0,1200.0,6,翔殷路,-25949.99 -43357.24;-30393.08 -44879.43;-30726.29 -44993.62;-31012.85 -45049.05;-31472.67 -45136.62;-32595.09 -44956.97
roads_meta_32,32,primary,12.0,1200.0,3,翔殷路,-11728.75 -38066.55;-20202.64 -41219.7;-25949.99 -43357.24
roads_meta_33,33,residential,6.0,600.0,2,国济路,-41953.04 -12073.42;-29439.87 -36154.72
roads_meta_34,34,tertiary,8.0,800.0,2,政通路,-41953.04 -12073.42;-22621.88 -5383.83
roads_meta_35,35,primary,17.5,1750.0,3,五角场,-39428.72 -46511.2;-40177.99 -47369.34;-40919.65 -48500.24
roads_meta_36,36,primary,12.0,1200.0,2,翔殷路,2484.73 -32951.96;-9660.98 -37343.67
roads_meta_37,37,tertiary,8.0,800.0,2,,2484.73 -32951.96;3039.76 -36011.0
roads_meta_38,38,tertiary,8.0,800.0,4,国和路,1545.09 -25574.36;1994.44 -30012.68;2297.18 -31974.05;2484.73 -32951.96
roads_meta_39,39,primary,12.0,1200.0,2,翔殷路,3522.41 -32549.49;2484.73 -32951.96
roads_meta_40,40,primary,12.0,1200.0,6,翔殷路,-27913.15 -47442.92;-24349.71 -45855.28;-18395.76 -43528.14;-6755.46 -39327.24;862.52 -36728.36;3039.76 -36011.0
roads_meta_41,41,primary,12.0,1200.0,7,翔殷路,-27913.15 -47442.92;-24134.57 -46370.85;-20815.81 -45131.35;-13806.09 -42604.63;-654.03 -37926.91;987.23 -37329.3;3173.04 -36619.7
