Name,road_id,vert_index,x_cm,y_cm
roads_verts_0,0,0,-30015.25,-49049.43
roads_verts_1,0,1,-29546.84,-48399.72
roads_verts_2,0,2,-29058.44,-48001.69
roads_verts_3,0,3,-27913.15,-47442.92
roads_verts_4,1,0,-30015.25,-49049.43
roads_verts_5,1,1,-30247.5,-47677.91
roads_verts_6,1,2,-30581.64,-46806.42
roads_verts_7,1,3,-31022.39,-45991.48
roads_verts_8,1,4,-31515.53,-45559.05
roads_verts_9,1,5,-32595.09,-44956.97
roads_verts_10,2,0,-601.65,466.78
roads_verts_11,2,1,-584.51,2327.26
roads_verts_12,3,0,4994.99,4164.47
roads_verts_13,3,1,663.52,2743.04
roads_verts_14,3,2,-584.51,2327.26
roads_verts_15,4,0,-776.79,29982.76
roads_verts_16,4,1,-705.4,17032.58
roads_verts_17,4,2,-711.11,15652.19
roads_verts_18,4,3,-717.78,14044.51
roads_verts_19,4,4,-658.76,8269.04
roads_verts_20,4,5,-584.51,2327.26
roads_verts_21,5,0,-8341.2,-442.36
roads_verts_22,5,1,-584.51,2327.26
roads_verts_23,6,0,36377.29,14668.25
roads_verts_24,6,1,34442.91,14489.68
roads_verts_25,6,2,32949.29,14056.11
roads_verts_26,6,3,31524.22,13613.68
roads_verts_27,7,0,4994.99,4164.47
roads_verts_28,7,1,12460.31,6613.75
roads_verts_29,7,2,31524.22,13613.68
roads_verts_30,8,0,31160.08,30115.16
roads_verts_31,8,1,31240.26,23034.7
roads_verts_32,8,2,31236.48,22111.11
roads_verts_33,8,3,31232.7,20925.86
roads_verts_34,8,4,31524.22,13613.68
roads_verts_35,9,0,-39031.3,41756.17
roads_verts_36,9,1,-39009.51,38794.7
roads_verts_37,10,0,-36408.82,38783.52
roads_verts_38,10,1,-39009.51,38794.7
roads_verts_39,11,0,-39009.51,38794.7
roads_verts_40,11,1,-41378.88,39101.91
roads_verts_41,11,2,-41662.56,39104.14
roads_verts_42,12,0,-41654.02,38440.0
roads_verts_43,12,1,-41370.34,38437.77
roads_verts_44,12,2,-39009.51,38794.7
roads_verts_45,13,0,-860.55,38872.7
roads_verts_46,13,1,31142.68,38988.47
